pgn_file,white,black,result,moves,top1_accuracy,top3_accuracy,top5_accuracy,avg_rank,median_rank,avg_confidence
standard16klinesover2000.pgn,kamenozrout,Indrayoga,1-0,37,0.02702702702702703,0.10810810810810811,0.24324324324324326,17.405405405405407,16,0.14495716031121975
standard16klinesover2000.pgn,pingupenguin,Slek,1-0,39,0.1282051282051282,0.23076923076923078,0.3333333333333333,14.974358974358974,17,0.1513275195653073
standard16klinesover2000.pgn,ArasanX,exeComp,0-1,44,0.022727272727272728,0.11363636363636363,0.22727272727272727,15.727272727272727,14,0.16340885160494897
standard16klinesover2000.pgn,pikozrout,MarcovanBanten,0-1,102,0.0784313725490196,0.19607843137254902,0.2549019607843137,18.931372549019606,19,0.1926502597039641
standard16klinesover2000.pgn,masterdylan,chessloon,0-1,34,0.058823529411764705,0.11764705882352941,0.23529411764705882,15.352941176470589,13,0.14659734686961826
standard16klinesover2000.pgn,chessloon,masterdylan,1-0,41,0.07317073170731707,0.12195121951219512,0.21951219512195122,16.73170731707317,14,0.148100089074886
standard16klinesover2000.pgn,masterdylan,chessloon,0-1,54,0.09259259259259259,0.2962962962962963,0.37037037037037035,14.61111111111111,14,0.18276384698752232
standard16klinesover2000.pgn,exeComp,hanoto,1-0,41,0.12195121951219512,0.3170731707317073,0.43902439024390244,13.853658536585366,8,0.17195121251065068
standard16klinesover2000.pgn,chessloon,masterdylan,0-1,65,0.15384615384615385,0.27692307692307694,0.35384615384615387,13.876923076923077,12,0.1658758016345667
standard16klinesover2000.pgn,masterdylan,chessloon,0-1,34,0.11764705882352941,0.29411764705882354,0.35294117647058826,13.647058823529411,15,0.17285871731937366
standard16klinesover2000.pgn,chessloon,masterdylan,0-1,68,0.14705882352941177,0.23529411764705882,0.3235294117647059,13.558823529411764,14,0.16703995056679166
standard16klinesover2000.pgn,exeComp,ArasanX,1/2-1/2,253,0.07905138339920949,0.22924901185770752,0.30434782608695654,12.798418972332016,12,0.1535608348725483
standard16klinesover2000.pgn,ArasanX,Hutnik,1/2-1/2,159,0.12578616352201258,0.29559748427672955,0.39622641509433965,12.79874213836478,7,0.17003134291587943
standard16klinesover2000.pgn,masterdylan,chessloon,1-0,75,0.06666666666666667,0.14666666666666667,0.18666666666666668,20.066666666666666,20,0.1897671938351287
standard16klinesover2000.pgn,chessloon,masterdylan,0-1,32,0.0625,0.1875,0.28125,13.9375,12,0.1580390563358275
standard16klinesover2000.pgn,masterdylan,chessloon,0-1,74,0.05405405405405406,0.2702702702702703,0.3918918918918919,13.743243243243244,10,0.1664631128990975
standard16klinesover2000.pgn,SergeZ,aleshakkk,1-0,49,0.10204081632653061,0.2653061224489796,0.3877551020408163,14.857142857142858,13,0.16389931211569944
