baseline_time,baseline_eval,eval_0.001s,error_0.001s,best_move_match_0.001s,eval_0.005s,error_0.005s,best_move_match_0.005s,eval_0.01s,error_0.01s,best_move_match_0.01s,eval_0.05s,error_0.05s,best_move_match_0.05s,eval_0.1s,error_0.1s,best_move_match_0.1s,eval_0.2s,error_0.2s,best_move_match_0.2s,eval_0.5s,error_0.5s,best_move_match_0.5s
1.0,-0.12,-0.28,-0.16000000000000003,True,-0.28,-0.16000000000000003,True,-0.26,-0.14,True,-0.24,-0.12,True,-0.24,-0.12,True,-0.22,-0.1,True,-0.28,-0.16000000000000003,True
1.0,-0.24,-0.17,0.06999999999999998,True,-0.13,0.10999999999999999,True,-0.26,-0.020000000000000018,True,-0.1,0.13999999999999999,True,-0.09,0.15,True,-0.13,0.10999999999999999,True,-0.04,0.19999999999999998,True
1.0,0.0,-0.21,-0.21,True,-0.22,-0.22,True,-0.29,-0.29,True,-0.25,-0.25,True,-0.1,-0.1,True,-0.22,-0.22,True,-0.03,-0.03,True
1.0,-0.12,-0.06,0.06,False,-0.06,0.06,True,-0.07,0.04999999999999999,True,-0.15,-0.03,True,0.0,0.12,True,-0.12,0.0,True,-0.36,-0.24,True
1.0,-0.29,-0.29,0.0,True,-0.42,-0.13,True,-0.31,-0.020000000000000018,True,-0.33,-0.040000000000000036,True,-0.17,0.11999999999999997,True,-0.19,0.09999999999999998,True,-0.33,-0.040000000000000036,True
1.0,-0.86,-0.87,-0.010000000000000009,True,-0.89,-0.030000000000000027,True,-0.85,0.010000000000000009,True,-0.87,-0.010000000000000009,True,-0.92,-0.06000000000000005,True,-0.94,-0.07999999999999996,True,-0.99,-0.13,False
1.0,-1.11,-1.12,-0.010000000000000009,False,-1.11,0.0,False,-1.15,-0.039999999999999813,False,-1.16,-0.04999999999999982,True,-1.18,-0.06999999999999984,False,-1.0,0.1100000000000001,True,-0.81,0.30000000000000004,False
1.0,-1.39,-1.07,0.31999999999999984,True,-1.08,0.30999999999999983,True,-1.05,0.33999999999999986,True,-1.23,0.15999999999999992,True,-1.34,0.04999999999999982,True,-1.36,0.029999999999999805,True,-1.33,0.05999999999999983,True
1.0,-1.44,-1.46,-0.020000000000000018,False,-1.46,-0.020000000000000018,False,-1.46,-0.020000000000000018,False,-1.37,0.06999999999999984,False,-1.36,0.07999999999999985,False,-1.25,0.18999999999999995,False,-1.3,0.1399999999999999,False
1.0,-1.56,-1.62,-0.06000000000000005,True,-1.62,-0.06000000000000005,True,-1.58,-0.020000000000000018,True,-1.62,-0.06000000000000005,True,-1.51,0.050000000000000044,True,-1.71,-0.1499999999999999,True,-1.77,-0.20999999999999996,True
1.0,-1.7,-1.76,-0.06000000000000005,False,-1.7,0.0,True,-1.71,-0.010000000000000009,True,-1.79,-0.09000000000000008,True,-1.65,0.050000000000000044,True,-1.85,-0.15000000000000013,False,-1.65,0.050000000000000044,True
1.0,-1.88,-1.83,0.04999999999999982,True,-1.81,0.06999999999999984,True,-1.83,0.04999999999999982,True,-1.86,0.019999999999999796,True,-1.91,-0.030000000000000027,True,-1.91,-0.030000000000000027,True,-1.87,0.009999999999999787,True
1.0,0.46,0.43,-0.030000000000000027,True,0.26,-0.2,True,0.5,0.03999999999999998,False,0.5,0.03999999999999998,False,0.37,-0.09000000000000002,False,0.28,-0.18,False,0.26,-0.2,False
1.0,0.29,0.28,-0.009999999999999953,True,0.28,-0.009999999999999953,True,0.3,0.010000000000000009,True,0.21,-0.07999999999999999,True,0.25,-0.03999999999999998,False,0.39,0.10000000000000003,True,0.29,0.0,True
1.0,0.19,0.45,0.26,False,0.45,0.26,True,0.48,0.29,True,0.49,0.3,False,0.46,0.27,False,0.38,0.19,True,0.33,0.14,True
1.0,0.78,0.4,-0.38,False,0.42,-0.36000000000000004,False,0.41,-0.37000000000000005,False,0.38,-0.4,False,0.42,-0.36000000000000004,False,0.55,-0.22999999999999998,False,0.58,-0.20000000000000007,False
1.0,0.29,0.47,0.18,False,0.34,0.050000000000000044,True,0.47,0.18,True,0.46,0.17000000000000004,True,0.33,0.040000000000000036,True,0.36,0.07,False,0.25,-0.03999999999999998,False
1.0,0.25,0.28,0.030000000000000027,False,0.28,0.030000000000000027,True,0.28,0.030000000000000027,False,0.29,0.03999999999999998,False,0.21,-0.04000000000000001,False,0.26,0.010000000000000009,True,0.26,0.010000000000000009,True
