episode,reward,epsilon,episode_time,env_step_time,action_selection_time,learning_time,buffer_ops_time
0,-541.7799999999999,0.9704869503929601,4.01056981086731,0.5661733150482178,3.443844795227051,0.0,0.00013685226440429688
1,-649.93,0.9418449208830277,4.087428331375122,0.6471900939941406,3.353898048400879,0.08577680587768555,0.0001876354217529297
2,-669.7099999999998,0.9140482050108684,5.0295491218566895,0.7177393436431885,4.088180303573608,0.22294116020202637,0.00021386146545410156
3,-491.22,0.8870718549931568,4.041262149810791,0.6004183292388916,3.226547956466675,0.21361351013183594,0.0001964569091796875
4,-110.33999999999999,0.8608916593317348,1.2966525554656982,0.2633633613586426,0.9495799541473389,0.0832521915435791,7.867813110351562e-05
5,-439.4999999999998,0.8354841210835904,2.92219877243042,0.4459702968597412,2.319596290588379,0.15604686737060547,0.00014829635620117188
6,-432.19999999999993,0.8108264367721563,4.308703422546387,0.6153581142425537,3.4764583110809326,0.21618103981018066,0.00022721290588378906
7,-165.44,0.7868964759210002,0.461625337600708,0.09292149543762207,0.338503360748291,0.029851436614990234,2.8133392333984375e-05
8,-1439.5899999999995,0.7636727611915388,3.4765491485595703,0.7798993587493896,2.503828763961792,0.19213008880615234,0.00019311904907226562
9,-752.3299999999998,0.7411344491069478,6.65268611907959,1.2964494228363037,5.01379919052124,0.3414924144744873,0.00034308433532714844
10,-1059.25,0.7192613113449683,3.08347749710083,0.5272624492645264,2.346925973892212,0.20860981941223145,0.0002002716064453125
11,-2485.72,0.6980337165828197,6.136915683746338,1.188307762145996,4.528356313705444,0.41901350021362305,0.0003719329833984375
12,-1060.02,0.6774326128779244,5.718445062637329,1.1939668655395508,4.167233228683472,0.35621118545532227,0.0003523826599121094
13,-2367.0499999999997,0.6574395105686316,4.8182995319366455,0.9507334232330322,3.5641908645629883,0.30249476432800293,0.0002770423889160156
14,-1394.03,0.6380364656795915,4.6360557079315186,0.8963675498962402,3.408301591873169,0.33035850524902344,0.0002961158752441406
15,-2475.129999999999,0.6192060638168893,5.083651304244995,1.1087045669555664,3.627119779586792,0.3468458652496338,0.0003066062927246094
16,-669.46,0.6009314045384815,1.5058434009552002,0.28716611862182617,1.1075592041015625,0.11060667037963867,0.00010275840759277344
17,-973.27,0.5831960861859091,3.681650161743164,0.8158318996429443,2.5982110500335693,0.26680636405944824,0.00023293495178222656
18,-256.43999999999994,0.5659841911636728,2.2664337158203125,0.5160746574401855,1.584683895111084,0.1650681495666504,0.00014734268188476562
19,-202.76000000000002,0.5492802716530589,2.412005662918091,0.5337800979614258,1.695232629776001,0.18217206001281738,0.00016355514526367188
20,-719.0599999999998,0.5330693357475939,3.1795241832733154,0.7019462585449219,2.2520391941070557,0.22482967376708984,0.00019288063049316406
21,-20.559999999999995,0.5173368339976833,0.28180718421936035,0.09052705764770508,0.16057300567626953,0.03032541275024414,2.47955322265625e-05
22,-1466.7900000000002,0.5020686463523607,4.117255687713623,0.8948664665222168,2.9156699180603027,0.30582237243652344,0.00026798248291015625
23,-2436.17,0.4872510694864241,5.250808477401733,1.2445201873779297,3.63580322265625,0.3694932460784912,0.0003237724304199219
24,-1774.91,0.472870804501588,3.6051113605499268,0.9485468864440918,2.3602962493896484,0.2953672409057617,0.00024437904357910156
25,-1065.8299999999997,0.45891494499061175,3.392880916595459,0.8860840797424316,2.2842414379119873,0.2216939926147461,0.0001957416534423828
26,-1221.03,0.4453709654536918,4.536593437194824,1.0906119346618652,3.078467845916748,0.36647987365722656,0.0003533363342285156
27,-946.1199999999997,0.43222671005672175,3.459127902984619,1.0165200233459473,2.159639358520508,0.2819502353668213,0.0002384185791015625
28,-371.73999999999995,0.41947038172133005,2.1753084659576416,0.48529767990112305,1.524728536605835,0.16466760635375977,0.00014400482177734375
